Date,Close
02/01/2018,98.94
03/01/2018,99.55
04/01/2018,100.85
05/01/2018,101.08
08/01/2018,100.15
09/01/2018,100.52
10/01/2018,101.22
11/01/2018,100.73
12/01/2018,100.97
16/01/2018,100.34
17/01/2018,100.76
18/01/2018,99.86
19/01/2018,98.03
22/01/2018,98.32
23/01/2018,97.98
24/01/2018,99.3
25/01/2018,99.69
26/01/2018,99.63
29/01/2018,99.41
30/01/2018,98.71
31/01/2018,99.4
01/02/2018,100
02/02/2018,96.68
05/02/2018,92.01
06/02/2018,94.18
07/02/2018,93.61
08/02/2018,88.34
09/02/2018,91.72
12/02/2018,94.7
13/02/2018,94.56
14/02/2018,96.23
15/02/2018,96.56
16/02/2018,96.79
20/02/2018,97.19
21/02/2018,97.5
22/02/2018,97.35
23/02/2018,98.8
26/02/2018,101.64
27/02/2018,99.58
28/02/2018,97.51
01/03/2018,95.14
02/03/2018,95.6
05/03/2018,96.66
06/03/2018,96.07
07/03/2018,95.64
08/03/2018,96.59
09/03/2018,99.05
12/03/2018,97.67
13/03/2018,95.37
14/03/2018,94.53
15/03/2018,94.39
16/03/2018,95.61
19/03/2018,94.84
20/03/2018,94.95
21/03/2018,94.74
22/03/2018,91.41
23/03/2018,90.45
26/03/2018,92.62
27/03/2018,91.42
28/03/2018,92.21
29/03/2018,93.28
02/04/2018,91
03/04/2018,92.74
04/04/2018,93.58
05/04/2018,94.2
06/04/2018,91.91
09/04/2018,92.14
10/04/2018,93
11/04/2018,91.6
12/04/2018,93.35
13/04/2018,93.03
16/04/2018,93.6
17/04/2018,93.86
18/04/2018,95.15
19/04/2018,102.37
20/04/2018,100.79
23/04/2018,100.61
24/04/2018,100.44
25/04/2018,98.78
26/04/2018,100.23
27/04/2018,99.61
30/04/2018,98.75
01/05/2018,98.58
02/05/2018,97.63
03/05/2018,97.14
04/05/2018,98.35
07/05/2018,98.58
08/05/2018,99.74
09/05/2018,100.5
10/05/2018,101.38
11/05/2018,101.42
14/05/2018,101.29
15/05/2018,100.74
16/05/2018,100.59
17/05/2018,101.22
18/05/2018,100.99
21/05/2018,102.04
22/05/2018,102.7
23/05/2018,101.93
24/05/2018,102.01
25/05/2018,101.1
29/05/2018,97.72
30/05/2018,98.99
31/05/2018,98.3
01/06/2018,98.25
04/06/2018,99.45
05/06/2018,99.31
06/06/2018,100.97
07/06/2018,101.48
08/06/2018,101
11/06/2018,101.2
12/06/2018,100.73
13/06/2018,100.02
14/06/2018,99.76
15/06/2018,98.52
18/06/2018,98.47
19/06/2018,97.14
20/06/2018,96.42
21/06/2018,96.63
22/06/2018,97.23
25/06/2018,98.54
26/06/2018,98.21
27/06/2018,96.96
28/06/2018,96.97
29/06/2018,98
02/07/2018,99
03/07/2018,97.84
05/07/2018,98.53
06/07/2018,98.52
09/07/2018,99.91
10/07/2018,99.91
11/07/2018,100.3
12/07/2018,101.15
13/07/2018,100.5
16/07/2018,100.69
17/07/2018,101.15
18/07/2018,102.98
19/07/2018,100.17
20/07/2018,100.15
23/07/2018,101.22
24/07/2018,101.71
25/07/2018,102.63
26/07/2018,102.5
27/07/2018,103.85
30/07/2018,100.85
31/07/2018,99.52
01/08/2018,99.45
02/08/2018,99.73
03/08/2018,100.79
06/08/2018,100.92
07/08/2018,101.97
08/08/2018,102.78
09/08/2018,102.99
10/08/2018,101.58
13/08/2018,101.81
14/08/2018,102.18
15/08/2018,101.51
16/08/2018,102.65
17/08/2018,103.03
20/08/2018,103.83
21/08/2018,104.81
22/08/2018,105.83
23/08/2018,105.37
24/08/2018,105.76
27/08/2018,107.05
28/08/2018,107.28
29/08/2018,106.71
30/08/2018,106.23
31/08/2018,105.98
04/09/2018,107.01
05/09/2018,105.68
06/09/2018,105.4
07/09/2018,106.08
10/09/2018,107.29
11/09/2018,108.31
12/09/2018,107.88
13/09/2018,108.66
14/09/2018,109.56
17/09/2018,109.2
18/09/2018,109.64
19/09/2018,110.1
